"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "XML", "JavaScript JSX", "PostCSS", "SCSS", "comment", "blank", "total"
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/README.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 0, 0, 6, 13
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/eslint.config.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 2, 34
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/firebase.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 1, 21, 38
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/index.html", "HTML", 0, 0, 0, 14, 0, 0, 0, 0, 6, 1, 21
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/package-lock.json", "JSON", 6914, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6915
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/package.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/public/pokemmo-svgrepo-com(1).svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 1, 11, 25
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/public/vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 29, 2, 31
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 8, 26
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/Context/AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 0, 12, 67
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/Context/DatabaseContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 2, 11, 68
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/Context/PokedexContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 57, 0, 0, 0, 12, 69
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/assets/react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/AnimatedRoutes/AnimatedRoutes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/AnimatedRoutes/Layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/AnimatedRoutes/Layout.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 12, 1, 4, 17
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Auth/Auth.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 133, 0, 0, 1, 14, 148
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Auth/Auth.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 108, 74, 15, 197
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Auth/google-sign-in.css", "PostCSS", 0, 0, 0, 0, 0, 0, 70, 0, 0, 8, 78
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Header/Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 28, 5, 57
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Header/Header.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 50, 0, 7, 57
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Header/HeaderDesktop.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 2, 26
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Header/HeaderDesktop.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 61, 0, 9, 70
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Landing/Landing.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 1, 8, 74
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Landing/Landing.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 114, 0, 17, 131
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/MainAppLayout/DesktopLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/MainAppLayout/MainAppLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 4, 7, 53
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/MainAppLayout/MainAppLayout.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 10, 1, 1, 12
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/MainAppLayout/MobileLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Modal/Modal.css", "PostCSS", 0, 0, 0, 0, 0, 0, 60, 0, 0, 11, 71
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Modal/Modal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 4, 38
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Pokecard/Pokecard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 131, 31, 215
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Pokecard/Pokecard.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 105, 0, 16, 121
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Pokecard/PokecardDesktop.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 1, 9, 50
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Pokecard/paletteButton.css", "PostCSS", 0, 0, 0, 0, 0, 0, 107, 0, 0, 1, 108
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/PopupMenu/PopupMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 162, 0, 0, 1, 17, 180
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/PopupMenu/PopupMenu.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 100, 0, 20, 120
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Sidenav/SearchList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 0, 4, 47
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Sidenav/Sidenav.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 58, 0, 0, 24, 14, 96
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Sidenav/Sidenav.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 120, 7, 21, 148
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Sidenav/SidenavDesktop.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 3, 2, 14
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Tooltip/Tooltip.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Tooltip/Tooltip.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Typecard/Typecard.css", "PostCSS", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/Typecard/Typecard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/palette/PaletteBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 97, 0, 0, 7, 16, 120
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/palette/PaletteBar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 124, 2, 20, 146
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/palette/PaletteModal.css", "PostCSS", 0, 0, 0, 0, 0, 0, 76, 0, 0, 9, 85
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/palette/PaletteModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/palette/SavedPalette.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 94, 0, 0, 0, 11, 105
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/palette/SavedPalette.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 220, 0, 30, 250
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/palette/SavedPaletteWindow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 87, 0, 0, 1, 12, 100
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/palette/SavedPaletteWindow.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 140, 8, 20, 168
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/palette/Toast.css", "PostCSS", 0, 0, 0, 0, 0, 0, 29, 0, 0, 1, 30
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/palette/Toast.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/palette/ViewPalette.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 196, 0, 0, 5, 44, 245
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/components/palette/ViewPalette.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 115, 105, 22, 242
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/hooks/usePokemon.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 0, 25, 24, 121
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/hooks/usePokemonMove.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 1, 12, 55
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/hooks/usePokemonTheme.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 1, 8, 30
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/hooks/useShades.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 2, 7, 40
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 57, 0, 4, 10, 71
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 2, 26
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/styles/global.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/styles/mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/styles/variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 20, 0, 3, 23
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/src/utils/index.js", "JavaScript", 0, 135, 0, 0, 0, 0, 0, 0, 0, 12, 147
"/mnt/c/Users/KARTIKEY/Documents/repos/pokedex/vite.config.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 1, 2, 22
"Total", "-", 6949, 368, 7, 14, 15, 1489, 408, 1317, 478, 621, 11666